kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
7870282,K04732.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,0.580725004,2.5360000e-06,-2.5360000e-06,131.7330300,3.870000e-03,-3.870000e-03,0.137,0.328,-0.137,2.07100,0.11900,-0.11900,105.2,7.100e+00,-7.100e+00,0.85,0.19,-8.000e-02,1939.0,,,3355.68,2286.97,-891.67,18.00,1,q1_q17_dr25_tce,5471.00,164.00,-147.00,4.530,0.057,-0.143,0.8410,0.1870,-0.0800,282.172030,43.696510,15.236
9021075,K04733.01,Kepler-1968 b,CONFIRMED,CANDIDATE,0.9410,0,0,0,0,7.281166670,7.7890000e-05,-7.7890000e-05,132.7518000,1.020000e-02,-1.020000e-02,0.100,0.358,-0.100,2.71600,0.24300,-0.24300,333.8,3.380e+01,-3.380e+01,1.40,0.14,-1.200e-01,744.0,,,72.16,30.08,-19.72,11.50,1,q1_q17_dr25_tce,5008.00,192.00,-174.00,4.572,0.033,-0.066,0.7880,0.0820,-0.0670,291.508120,45.370159,15.993
11338056,K04735.01,,CANDIDATE,CANDIDATE,0.9730,0,0,0,0,2.879983340,2.4270000e-05,-2.4270000e-05,131.4848500,5.680000e-03,-5.680000e-03,0.220,0.243,-0.220,1.65800,0.24300,-0.24300,116.5,1.460e+01,-1.460e+01,0.85,0.03,-5.000e-02,1024.0,,,260.79,40.02,-46.57,9.90,1,q1_q17_dr25_tce,4951.00,81.00,-81.00,4.523,0.063,-0.027,0.8060,0.0320,-0.0510,284.760930,49.141979,14.712
5282477,K04736.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,1,0,1,1,0.992798625,1.4870000e-06,-1.4870000e-06,131.7088900,1.340000e-03,-1.340000e-03,1.219,0.572,-0.152,3.50650,0.05900,-0.05900,582.5,8.800e+00,-8.800e+00,29.26,9.33,-4.000e+00,1967.0,,,3519.47,3406.53,-1275.49,79.10,2,q1_q17_dr25_tce,6055.00,190.00,-232.00,4.407,0.072,-0.217,1.0980,0.3500,-0.1500,293.947940,40.455818,15.040
7266212,K04737.01,,CANDIDATE,CANDIDATE,0.9940,0,0,0,0,7.795340330,8.4420000e-05,-8.4420000e-05,138.0321600,7.980000e-03,-7.980000e-03,0.282,0.166,-0.281,3.40600,0.30400,-0.30400,102.1,1.190e+01,-1.190e+01,1.07,0.35,-1.200e-01,985.0,,,222.52,213.24,-69.03,10.20,1,q1_q17_dr25_tce,6156.00,171.00,-214.00,4.443,0.054,-0.216,1.0500,0.3410,-0.1140,286.217290,42.860920,14.726
8129005,K04741.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,7.140311300,1.8720000e-04,-1.8720000e-04,137.9994000,2.120000e-02,-2.120000e-02,0.786,0.203,-0.557,5.89100,0.49900,-0.49900,112.1,1.170e+01,-1.170e+01,1.18,0.35,-1.200e-01,1036.0,,,272.78,234.30,-83.46,11.80,1,q1_q17_dr25_tce,6354.00,170.00,-226.00,4.454,0.052,-0.195,1.0160,0.2980,-0.1060,300.783870,43.962059,14.738
4138008,K04742.01,Kepler-442 b,CONFIRMED,CANDIDATE,0.9930,0,0,0,0,112.303136000,1.7220000e-03,-1.7220000e-03,230.4383000,1.250000e-02,-1.250000e-02,0.248,0.191,-0.248,5.86900,0.36200,-0.36200,502.1,4.410e+01,-4.410e+01,1.30,0.07,-5.000e-02,241.0,,,0.79,0.15,-0.11,13.10,1,q1_q17_dr25_tce,4401.00,78.00,-78.00,4.677,0.017,-0.027,0.5950,0.0300,-0.0240,285.366580,39.280079,14.976
6468904,K04743.01,,CANDIDATE,CANDIDATE,0.9980,0,0,0,0,49.538726400,3.8040000e-04,-3.8040000e-04,132.5007200,6.820000e-03,-6.820000e-03,1.223,6.795,-0.089,2.23800,0.30500,-0.30500,740.6,8.970e+01,-8.970e+01,20.52,4.61,-1.540e+00,436.0,,,8.52,5.90,-1.99,10.30,1,q1_q17_dr25_tce,5683.00,173.00,-155.00,4.605,0.036,-0.144,0.7470,0.1680,-0.0560,298.684020,41.831490,14.940
5709906,K04744.01,,CANDIDATE,CANDIDATE,0.8230,0,0,0,0,3.391559660,5.7670000e-05,-5.7670000e-05,134.1211000,1.260000e-02,-1.260000e-02,0.182,0.279,-0.182,3.87000,0.38600,-0.38600,28.4,4.300e+00,-4.300e+00,0.49,0.14,-5.000e-02,1183.0,,,462.47,406.60,-130.31,8.20,1,q1_q17_dr25_tce,5896.00,159.00,-176.00,4.516,0.052,-0.208,0.9140,0.2740,-0.0910,293.174350,40.950809,13.773
11757451,K04745.01,Kepler-443 b,CONFIRMED,CANDIDATE,0.8770,0,0,0,0,177.668663000,3.3150000e-03,-3.3150000e-03,264.2428000,1.340000e-02,-1.340000e-02,0.772,0.175,-0.530,9.29800,0.46300,-0.46300,901.4,8.100e+01,-8.100e+01,2.32,0.13,-9.000e-02,233.0,,,0.70,0.13,-0.10,12.70,1,q1_q17_dr25_tce,4721.00,75.00,-85.00,4.615,0.021,-0.036,0.7010,0.0390,-0.0290,288.610530,49.968632,15.891
